                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 190.63,                 91.825,                  171.3,                0.82292,                 0.7418,                0.80064,                0.52359,                    nan,                    nan,                    nan,                0.00538,                0.00538,                0.00538
                    142,                  190.7,                 91.866,                 171.46,                0.84274,                0.72564,                0.79743,                0.52199,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                    143,                  190.4,                 91.754,                 171.48,                0.82305,                0.72929,                0.80088,                0.52229,                    nan,                    nan,                    nan,               0.005314,               0.005314,               0.005314
                    144,                 190.44,                 91.758,                 170.69,                 0.8417,                0.72365,                0.79888,                0.52231,                    nan,                    nan,                    nan,               0.005281,               0.005281,               0.005281
                    145,                 190.15,                 91.183,                 169.98,                0.84343,                0.72301,                 0.7997,                0.52077,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                    146,                 190.01,                 91.196,                 170.84,                0.86114,                0.70995,                0.79961,                0.52306,                    nan,                    nan,                    nan,               0.005215,               0.005215,               0.005215
                    147,                 189.87,                 91.061,                 169.93,                 0.8234,                0.72796,                0.79925,                0.52251,                    nan,                    nan,                    nan,               0.005182,               0.005182,               0.005182
                    148,                 189.53,                 90.877,                 169.73,                0.86703,                0.70615,                0.79978,                0.52157,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    149,                 189.32,                 90.553,                 169.55,                0.82843,                0.72428,                0.79907,                0.52146,                    nan,                    nan,                    nan,               0.005116,               0.005116,               0.005116
                    150,                 189.52,                 90.875,                 170.29,                0.86043,                0.70973,                0.79711,                0.52041,                    nan,                    nan,                    nan,               0.005083,               0.005083,               0.005083
                    151,                 189.16,                  90.34,                  170.2,                0.84392,                0.71813,                0.79833,                0.52046,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    152,                 188.86,                 90.234,                 169.78,                0.84979,                0.70984,                0.80028,                0.51939,                    nan,                    nan,                    nan,               0.005017,               0.005017,               0.005017
                    153,                 188.65,                 90.146,                  169.9,                0.82614,                0.72576,                0.80202,                0.52143,                    nan,                    nan,                    nan,               0.004984,               0.004984,               0.004984
                    154,                 188.57,                 89.835,                  169.2,                0.82542,                0.72688,                0.80667,                0.52519,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                    155,                 188.23,                 89.919,                 169.88,                0.79748,                0.74835,                0.80633,                0.52637,                    nan,                    nan,                    nan,               0.004918,               0.004918,               0.004918
                    156,                    188,                  89.68,                  168.8,                0.81708,                0.73278,                0.80477,                0.52517,                    nan,                    nan,                    nan,               0.004885,               0.004885,               0.004885
                    157,                 188.05,                 89.626,                  169.6,                0.81673,                0.73415,                0.80626,                0.52752,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
