# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
2,942205001_cam3_frame_975.png,975,268.76068,1043.506,502.44275,1183.3656,0.70631844,-1,LUTJANUSCAMPECHANUS-170151107,0.70631844
1,942205001_cam3_frame_976.png,976,729.81946,819.30194,823.829,946.732,0.700878,-1,LUTJANUSCAMPECHANUS-170151107,0.700878
1,942205001_cam3_frame_977.png,977,726.43933,815.4757,822.82715,943.1487,0.74103564,-1,LUTJANUSCAMPECHANUS-170151107,0.74103564
2,942205001_cam3_frame_977.png,977,146.86153,1056.0613,477.03214,1184.6599,0.52599657,-1,LUTJANUSSYNAGRIS-170151113,0.52599657
1,942205001_cam3_frame_978.png,978,722.8699,805.76605,814.6533,925.09644,0.6759854,-1,LUTJANUSCAMPECHANUS-170151107,0.6759854
1,942205001_cam3_frame_979.png,979,719.97644,787.3345,807.40344,912.03955,0.6497324,-1,LUTJANUSCAMPECHANUS-170151107,0.6497324
1,942205001_cam3_frame_980.png,980,721.13434,767.69324,804.1113,895.9606,0.6440397,-1,LUTJANUSCAMPECHANUS-170151107,0.6440397
1,942205001_cam3_frame_981.png,981,718.61005,727.0034,799.9814,891.6546,0.513451,-1,LUTJANUSCAMPECHANUS-170151107,0.513451
1,942205001_cam3_frame_982.png,982,716.6581,747.0711,789.11487,867.37244,0.66738707,-1,LUTJANUSCAMPECHANUS-170151107,0.66738707
2,942205001_cam3_frame_982.png,982,154.80254,1084.9287,421.66022,1183.9106,0.6077317,-1,LUTJANUSCAMPECHANUS-170151107,0.6077317
1,942205001_cam3_frame_983.png,983,187.16011,1078.1411,485.76187,1183.2506,0.7378643,-1,LUTJANUSSYNAGRIS-170151113,0.7378643
2,942205001_cam3_frame_983.png,983,715.7071,741.13354,780.5134,849.66565,0.6242197,-1,LUTJANUSCAMPECHANUS-170151107,0.6242197
1,942205001_cam3_frame_986.png,986,597.5476,689.25586,781.4218,821.60815,0.8005459,-1,LUTJANUSCAMPECHANUS-170151107,0.8005459
1,942205001_cam3_frame_987.png,987,582.9314,678.46277,828.81537,801.95264,0.6481001,-1,LUTJANUSCAMPECHANUS-170151107,0.6481001
1,942205001_cam3_frame_988.png,988,564.8861,669.38916,814.91833,807.41284,0.81653655,-1,LUTJANUSCAMPECHANUS-170151107,0.81653655
1,942205001_cam3_frame_989.png,989,530.8805,656.7853,791.0852,800.0969,0.78287375,-1,LUTJANUSCAMPECHANUS-170151107,0.78287375
1,942205001_cam3_frame_990.png,990,494.31363,649.6328,676.235,779.1078,0.62422556,-1,LUTJANUSCAMPECHANUS-170151107,0.62422556
